Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
MyD88	SPB6	SPB6	2	2	2	1	0	0.96	0.96	0.96	0.96	0.96	3.14	20	0.01	
MyD88	HPDL	HPDL	3	3	3	1	2	0.03	0.03	0.03	0.03	0.03	-3.65	1.5	0.3	
MyD88	GARS	GARS	21	21	21	1	0	1	1	1	1	1	32.81	210	0	
MyD88	SPB1	SPB1	37	37	37	1	42	0	0	0	0	0	-95.53	0.88	0.6	
MyD88	RMD3	RMD3	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	TRNT1	TRNT1	10	10	10	1	0	1	1	1	1	1	16.34	100	0	
MyD88	ATAD1	ATAD1	5	5	5	1	4	0	0	0	0	0	-7.8	1.25	0.42	
MyD88	TOP1	TOP1	18	18	18	1	25	0	0	0	0	0	-63.81	0.72	0.6	
MyD88	ATAD2	ATAD2	26	26	26	1	7	1	1	1	1	1	8.95	3.71	0	
MyD88	TADA3	TADA3	6	6	6	1	5	0	0	0	0	0	-9.88	1.2	0.45	
MyD88	GIT1	GIT1	7	7	7	1	2	0.82	0.82	0.82	0.82	0.82	1.51	3.5	0.02	
MyD88	GIT2	GIT2	5	5	5	1	3	0.01	0.01	0.01	0.01	0.01	-4.32	1.67	0.34	
MyD88	ANCHR	ANCHR	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	FOXC2	FOXC2	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	DNJC9	DNJC9	7	7	7	1	0	1	1	1	1	1	11.65	70	0	
MyD88	GANAB	GANAB	57	57	57	1	41	0	0	0	0	0	-63.24	1.39	0.59	
MyD88	SMAD4	SMAD4	7	7	7	1	3	0.16	0.16	0.16	0.16	0.16	-1.65	2.33	0.23	
MyD88	SMAD5	SMAD5	2	2	2	1	4	0	0	0	0	0	-12.4	0.5	0.6	
MyD88	GEMI5	GEMI5	32	32	32	1	13	0.1	0.1	0.1	0.1	0.1	-2.18	2.46	0.25	
MyD88	RA54B	RA54B	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	SMAD1	SMAD1	2	2	2	1	2	0	0	0	0	0	-5.1	1	0.6	
MyD88	VAPA	VAPA	6	6	6	1	1	0.96	0.96	0.96	0.96	0.96	3.27	6	0	
MyD88	PCAT2	PCAT2	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	MUS81	MUS81	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	H2B2E	H2B2E	12	12	12	1	12	0	0	0	0	0	-25.84	1	0.6	
MyD88	RL9	RL9	57	57	57	1	38	0	0	0	0	0	-52.9	1.5	0.59	
MyD88	RL8	RL8	27	27	27	1	21	0	0	0	0	0	-35.92	1.29	0.57	
MyD88	CC038	CC038	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	RL5	RL5	14	14	14	1	15	0	0	0	0	0	-33.51	0.93	0.6	
MyD88	SYPM	SYPM	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	RL7	RL7	41	41	41	1	72	0	0	0	0	0	-202.49	0.57	0.6	
MyD88	RL6	RL6	25	25	25	1	27	0	0	0	0	0	-59.88	0.93	0.6	
MyD88	RL3	RL3	52	52	52	1	63	0	0	0	0	0	-148.42	0.83	0.6	
MyD88	SPART	SPART	2	2	2	1	1	0.17	0.17	0.17	0.17	0.17	-1.58	2	0.14	
MyD88	AKIP	AKIP	3	3	3	1	3	0	0	0	0	0	-7.18	1	0.6	
MyD88	ARF1	ARF1	5	5	5	1	7	0	0	0	0	0	-18.5	0.71	0.6	
MyD88	ARF6	ARF6	2	2	2	1	1	0.17	0.17	0.17	0.17	0.17	-1.58	2	0.14	
MyD88	KLH26	KLH26	2	2	2	1	1	0.17	0.17	0.17	0.17	0.17	-1.58	2	0.14	
MyD88	ARF4	ARF4	15	15	15	1	19	0	0	0	0	0	-46.46	0.79	0.6	
MyD88	TARB1	TARB1	9	9	9	1	14	0	0	0	0	0	-37.99	0.64	0.6	
MyD88	ATE1	ATE1	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	ATPO	ATPO	9	9	9	1	11	0	0	0	0	0	-26.75	0.82	0.6	
MyD88	AP3D1	AP3D1	98	98	98	1	162	0	0	0	0	0	-443.53	0.6	0.6	
MyD88	ICMT	ICMT	4	4	4	1	5	0	0	0	0	0	-12.76	0.8	0.6	
MyD88	MB12A	MB12A	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	DIP2B	DIP2B	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	SC22B	SC22B	9	9	9	1	4	0.09	0.09	0.09	0.09	0.09	-2.35	2.25	0.27	
MyD88	ANS1A	ANS1A	4	4	4	1	2	0.09	0.09	0.09	0.09	0.09	-2.27	2	0.25	
MyD88	BI2L1	BI2L1	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	ABCD1	ABCD1	10	10	10	1	14	0	0	0	0	0	-36.22	0.71	0.6	
MyD88	NOL9	NOL9	18	18	18	1	19	0	0	0	0	0	-41.8	0.95	0.6	
MyD88	ATPB	ATPB	31	31	31	1	35	0	0	0	0	0	-79.5	0.89	0.6	
MyD88	SAR1A	SAR1A	5	5	5	1	8	0	0	0	0	0	-22.28	0.62	0.6	
MyD88	NOL7	NOL7	2	2	2	1	5	0	0	0	0	0	-16.35	0.4	0.6	
MyD88	PDLI5	PDLI5	37	37	37	1	38	0	0	0	0	0	-81.21	0.97	0.6	
MyD88	SRPK1	SRPK1	10	10	10	1	1	1	1	1	1	1	8.45	10	0	
MyD88	ATPA	ATPA	31	31	31	1	34	0	0	0	0	0	-75.89	0.91	0.6	
MyD88	NOL3	NOL3	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	SRPK2	SRPK2	3	3	3	1	0	0.99	0.99	0.99	0.99	0.99	4.99	30	0	
MyD88	F16A1	F16A1	2	2	2	1	1	0.17	0.17	0.17	0.17	0.17	-1.58	2	0.14	
MyD88	SCLY	SCLY	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	DEN4B	DEN4B	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	DEN4C	DEN4C	4	4	4	1	1	0.72	0.72	0.72	0.72	0.72	0.95	4	0.03	
MyD88	RLP24	RLP24	2	2	2	1	4	0	0	0	0	0	-12.4	0.5	0.6	
MyD88	DCAKD	DCAKD	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	LEO1	LEO1	2	2	2	1	0	0.96	0.96	0.96	0.96	0.96	3.14	20	0.01	
MyD88	CXXC1	CXXC1	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	CDC45	CDC45	5	5	5	1	8	0	0	0	0	0	-22.28	0.62	0.6	
MyD88	SMD1	SMD1	4	4	4	1	4	0	0	0	0	0	-9.25	1	0.6	
MyD88	SMD2	SMD2	7	7	7	1	10	0	0	0	0	0	-26.34	0.7	0.6	
MyD88	SMD3	SMD3	4	4	4	1	1	0.72	0.72	0.72	0.72	0.72	0.95	4	0.03	
MyD88	RL36	RL36	22	22	22	1	26	0	0	0	0	0	-60.89	0.85	0.6	
MyD88	IPO11	IPO11	24	24	24	1	30	0	0	0	0	0	-72.36	0.8	0.6	
MyD88	F91A1	F91A1	10	10	10	1	5	0.01	0.01	0.01	0.01	0.01	-4.36	2	0.35	
MyD88	CPEB4	CPEB4	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	SPNS1	SPNS1	2	2	2	1	2	0	0	0	0	0	-5.1	1	0.6	
MyD88	PR38A	PR38A	6	6	6	1	1	0.96	0.96	0.96	0.96	0.96	3.27	6	0	
MyD88	PR38B	PR38B	11	11	11	1	3	0.96	0.96	0.96	0.96	0.96	3.23	3.67	0	
MyD88	RL35	RL35	22	22	22	1	22	0	0	0	0	0	-46.58	1	0.6	
MyD88	FRG1	FRG1	16	16	16	1	16	0	0	0	0	0	-34.14	1	0.6	
MyD88	CLH2	CLH2	1	1	1	1	2	0	0	0	0	0	-6.53	0.5	0.6	
MyD88	UBF1	UBF1	27	27	27	1	35	0	0	0	0	0	-85.94	0.77	0.6	
MyD88	ELYS	ELYS	10	10	10	1	11	0	0	0	0	0	-25.21	0.91	0.6	
MyD88	AASS	AASS	7	7	7	1	13	0	0	0	0	0	-37.9	0.54	0.6	
MyD88	PDXD1	PDXD1	13	13	13	1	7	0	0	0	0	0	-7.08	1.86	0.41	
MyD88	SORCN	SORCN	7	7	7	1	0	1	1	1	1	1	11.65	70	0	
MyD88	KIF4A	KIF4A	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	S29A1	S29A1	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	CDCA2	CDCA2	6	6	6	1	4	0	0	0	0	0	-6.39	1.5	0.39	
MyD88	SUCB1	SUCB1	12	12	12	1	8	0	0	0	0	0	-11.86	1.5	0.47	
MyD88	SUCB2	SUCB2	19	19	19	1	10	0	0	0	0	0	-9.16	1.9	0.45	
MyD88	SNP47	SNP47	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	SP1	SP1	2	2	2	1	3	0	0	0	0	0	-8.61	0.67	0.6	
MyD88	SYRM	SYRM	5	5	5	1	7	0	0	0	0	0	-18.5	0.71	0.6	
MyD88	OLA1	OLA1	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	NOLC1	NOLC1	1	1	1	1	5	0	0	0	0	0	-18.68	0.2	0.6	
MyD88	RSF1	RSF1	3	3	3	1	3	0	0	0	0	0	-7.18	1	0.6	
MyD88	ATG4B	ATG4B	4	4	4	1	2	0.09	0.09	0.09	0.09	0.09	-2.27	2	0.25	
MyD88	FA76B	FA76B	4	4	4	1	2	0.09	0.09	0.09	0.09	0.09	-2.27	2	0.25	
MyD88	R39L5	R39L5	8	8	8	1	9	0	0	0	0	0	-21.06	0.89	0.6	
MyD88	TAF5L	TAF5L	5	5	5	1	5	0	0	0	0	0	-11.32	1	0.6	
MyD88	CALX	CALX	7	7	7	1	4	0.01	0.01	0.01	0.01	0.01	-5.01	1.75	0.36	
MyD88	SNW1	SNW1	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	WASF2	WASF2	5	5	5	1	5	0	0	0	0	0	-11.32	1	0.6	
MyD88	KBRS2	KBRS2	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	RAB28	RAB28	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	LPCT4	LPCT4	1	1	1	1	3	0	0	0	0	0	-10.43	0.33	0.6	
MyD88	G6PD	G6PD	8	8	8	1	1	1	1	1	1	1	5.81	8	0	
MyD88	CALU	CALU	33	33	33	1	20	0	0	0	0	0	-24.16	1.65	0.55	
MyD88	TBL1R	TBL1R	6	6	6	1	2	0.58	0.58	0.58	0.58	0.58	0.3	3	0.05	
MyD88	MFR1L	MFR1L	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	MOT1	MOT1	7	7	7	1	9	0	0	0	0	0	-22.62	0.78	0.6	
MyD88	MOT2	MOT2	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	MOT4	MOT4	7	7	7	1	9	0	0	0	0	0	-22.62	0.78	0.6	
MyD88	SYBU	SYBU	2	2	2	1	2	0	0	0	0	0	-5.1	1	0.6	
MyD88	WDR75	WDR75	6	6	6	1	5	0	0	0	0	0	-9.88	1.2	0.45	
MyD88	STAM2	STAM2	3	3	3	1	0	0.99	0.99	0.99	0.99	0.99	4.99	30	0	
MyD88	CA174	CA174	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	PROF2	PROF2	3	3	3	1	1	0.44	0.44	0.44	0.44	0.44	-0.26	3	0.06	
MyD88	SYTL4	SYTL4	17	17	17	1	4	1	1	1	1	1	7.18	4.25	0	
MyD88	AAAS	AAAS	14	14	14	1	15	0	0	0	0	0	-33.51	0.93	0.6	
MyD88	PROF1	PROF1	17	17	17	1	7	0.13	0.13	0.13	0.13	0.13	-1.86	2.43	0.25	
MyD88	MTMRE	MTMRE	1	1	1	1	0	0	0	0	0	0	1.11	10	0.6	
MyD88	TM7S3	TM7S3	1	1	1	1	2	0	0	0	0	0	-6.53	0.5	0.6	
MyD88	NT5D2	NT5D2	9	9	9	1	7	0	0	0	0	0	-12.6	1.29	0.48	
MyD88	NQO1	NQO1	6	6	6	1	4	0	0	0	0	0	-6.39	1.5	0.39	
MyD88	TRUA	TRUA	3	3	3	1	0	0.99	0.99	0.99	0.99	0.99	4.99	30	0	
MyD88	PRPF3	PRPF3	45	45	45	1	31	0	0	0	0	0	-45.4	1.45	0.58	
MyD88	MA1A2	MA1A2	4	4	4	1	3	0	0	0	0	0	-5.73	1.33	0.37	
MyD88	ASB6	ASB6	2	2	2	1	1	0.17	0.17	0.17	0.17	0.17	-1.58	2	0.14	
MyD88	UBA5	UBA5	2	2	2	1	0	0.96	0.96	0.96	0.96	0.96	3.14	20	0.01	
MyD88	F120A	F120A	24	24	24	1	20	0	0	0	0	0	-36.68	1.2	0.57	
MyD88	SMBP2	SMBP2	1	1	1	1	3	0	0	0	0	0	-10.43	0.33	0.6	
MyD88	FADS2	FADS2	13	13	13	1	12	0	0	0	0	0	-24.39	1.08	0.55	
MyD88	FA98A	FA98A	4	4	4	1	0	1	1	1	1	1	6.73	40	0	
MyD88	FA98B	FA98B	7	7	7	1	0	1	1	1	1	1	11.65	70	0	
MyD88	RT06	RT06	2	2	2	1	2	0	0	0	0	0	-5.1	1	0.6	
MyD88	RT07	RT07	10	10	10	1	7	0	0	0	0	0	-11.19	1.43	0.47	
MyD88	RT05	RT05	18	18	18	1	22	0	0	0	0	0	-52.64	0.82	0.6	
MyD88	RT02	RT02	3	3	3	1	3	0	0	0	0	0	-7.18	1	0.6	
MyD88	IF122	IF122	1	1	1	1	7	0	0	0	0	0	-27.18	0.14	0.6	
MyD88	COPG2	COPG2	12	12	12	1	12	0	0	0	0	0	-25.84	1	0.6	
MyD88	HDGF	HDGF	3	3	3	1	0	0.99	0.99	0.99	0.99	0.99	4.99	30	0	
MyD88	RT09	RT09	13	13	13	1	15	0	0	0	0	0	-35.02	0.87	0.6	
MyD88	DDX49	DDX49	3	3	3	1	0	0.99	0.99	0.99	0.99	0.99	4.99	30	0	
MyD88	ATM	ATM	7	7	7	1	13	0	0	0	0	0	-37.9	0.54	0.6	
MyD88	DPOE1	DPOE1	19	19	19	1	20	0	0	0	0	0	-43.88	0.95	0.6	
MyD88	DPOE2	DPOE2	2	2	2	1	4	0	0	0	0	0	-12.4	0.5	0.6	
MyD88	AT2B1	AT2B1	3	3	3	1	3	0	0	0	0	0	-7.18	1	0.6	
MyD88	RINT1	RINT1	1	1	1	1	2	0	0	0	0	0	-6.53	0.5	0.6	
MyD88	TBL2	TBL2	10	10	10	1	8	0	0	0	0	0	-14.67	1.25	0.5	
MyD88	TBL3	TBL3	10	10	10	1	11	0	0	0	0	0	-25.21	0.91	0.6	
MyD88	THOC2	THOC2	39	39	39	1	44	0	0	0	0	0	-99.67	0.89	0.6	
MyD88	THOC6	THOC6	4	4	4	1	1	0.72	0.72	0.72	0.72	0.72	0.95	4	0.03	
MyD88	THOC5	THOC5	1	1	1	1	1	0	0	0	0	0	-3.03	1	0.6	
MyD88	CL16A	CL16A	3	3	3	1	2	0.03	0.03	0.03	0.03	0.03	-3.65	1.5	0.3	
MyD88	RL21	RL21	27	27	27	1	23	0	0	0	0	0	-42.9	1.17	0.58	
MyD88	RL22	RL22	19	19	19	1	16	0	0	0	0	0	-29.82	1.19	0.56	
MyD88	RL23	RL23	50	50	50	1	56	0	0	0	0	0	-126.04	0.89	0.6	
MyD88	RL24	RL24	18	18	18	1	22	0	0	0	0	0	-52.64	0.82	0.6	
MyD88	TTI1	TTI1	9	9	9	1	9	0	0	0	0	0	-19.62	1	0.6	
MyD88	RL26	RL26	23	23	23	1	28	0	0	0	0	0	-66.62	0.82	0.6	
MyD88	RL27	RL27	22	22	22	1	27	0	0	0	0	0	-64.56	0.81	0.6	
MyD88	RL28	RL28	23	23	23	1	41	0	0	0	0	0	-116.28	0.56	0.6	
MyD88	RL29	RL29	18	18	18	1	19	0	0	0	0	0	-41.8	0.95	0.6	
